Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
2014-09-22 12:01:42 AM,57.03088,9.94530,4,6,245,75,13,GPS,2014-09-22 00:01:42+02:00
2014-09-22 12:15:23 AM,57.03106,9.94550,3,5,124,38,22,GPS,2014-09-22 00:15:23+02:00
2014-09-22 12:31:37 AM,57.03117,9.94590,0,0,157,48,21,GPS,2014-09-22 00:31:37+02:00
2014-09-22 12:36:43 AM,57.03070,9.94540,0,0,321,98,19,GPS,2014-09-22 00:36:43+02:00
2014-09-22 01:13:58 AM,57.03086,9.94570,0,0,288,88,9,GPS,2014-09-22 01:13:58+02:00
2014-09-22 01:48:48 AM,57.03105,9.94600,9,14,347,106,24,GPS,2014-09-22 01:48:48+02:00
2014-09-22 01:54:33 AM,57.03092,9.94520,1,2,127,39,16,GPS,2014-09-22 01:54:33+02:00
2014-09-22 02:05:42 AM,57.03073,9.94660,10,16,1039,317,31,GPS,2014-09-22 02:05:42+02:00
2014-09-22 02:13:09 AM,57.03111,9.94570,1,2,295,90,18,GPS,2014-09-22 02:13:09+02:00
2014-09-22 02:52:36 AM,57.03087,9.94500,1,2,364,111,24,GPS,2014-09-22 02:52:36+02:00
2014-09-22 03:04:30 AM,57.03088,9.94550,2,3,262,80,21,GPS,2014-09-22 03:04:30+02:00
2014-09-22 03:22:09 AM,57.03070,9.94570,7,11,265,81,22,GPS,2014-09-22 03:22:09+02:00
2014-09-22 03:27:27 AM,57.03123,9.94540,4,6,314,96,32,GPS,2014-09-22 03:27:27+02:00
2014-09-22 03:32:34 AM,57.03080,9.94580,1,2,164,50,16,GPS,2014-09-22 03:32:34+02:00
2014-09-22 03:49:19 AM,57.03022,9.94650,2,3,383,117,42,GPS,2014-09-22 03:49:19+02:00
2014-09-22 03:54:40 AM,57.03118,9.94570,8,13,223,68,28,GPS,2014-09-22 03:54:40+02:00
2014-09-22 04:08:10 AM,57.03094,9.94560,4,6,72,22,14,GPS,2014-09-22 04:08:10+02:00
2014-09-22 05:02:07 AM,57.03112,9.94590,5,8,452,138,33,GPS,2014-09-22 05:02:07+02:00
2014-09-22 05:15:10 AM,57.03080,9.94550,5,8,432,132,25,GPS,2014-09-22 05:15:10+02:00
2014-09-22 05:21:09 AM,57.03100,9.94580,3,5,206,63,11,GPS,2014-09-22 05:21:09+02:00
2014-09-22 06:00:07 AM,57.03092,9.94530,0,0,314,96,7,GPS,2014-09-22 06:00:07+02:00
2014-09-22 06:16:08 AM,57.03113,9.94570,8,13,298,91,26,GPS,2014-09-22 06:16:08+02:00
2014-09-22 06:21:59 AM,57.03056,9.94540,0,0,301,92,35,GPS,2014-09-22 06:21:59+02:00
2014-09-22 06:28:51 AM,57.03093,9.94540,6,10,226,69,38,GPS,2014-09-22 06:28:51+02:00
2014-09-22 06:34:42 AM,57.03081,9.94480,0,0,350,107,33,GPS,2014-09-22 06:34:42+02:00
2014-09-22 06:39:58 AM,57.03155,9.94600,7,11,-111,-34,18,GPS,2014-09-22 06:39:58+02:00
2014-09-22 06:45:09 AM,57.03094,9.94570,5,8,-19,-6,28,GPS,2014-09-22 06:45:09+02:00
2014-09-22 06:56:51 AM,57.03062,9.94530,12,19,410,125,25,GPS,2014-09-22 06:56:51+02:00
2014-09-22 07:07:53 AM,57.03091,9.94570,,,-62,-19,22,GPS,2014-09-22 07:07:53+02:00
2014-09-22 07:13:04 AM,57.03110,9.94590,2,3,3,1,20,GPS,2014-09-22 07:13:04+02:00
2014-09-22 07:20:10 AM,57.03071,9.94550,0,0,268,82,34,GPS,2014-09-22 07:20:10+02:00
2014-09-22 07:25:26 AM,57.03092,9.94630,1,2,265,81,30,GPS,2014-09-22 07:25:26+02:00
2014-09-22 07:32:07 AM,57.03100,9.94580,6,10,331,101,24,GPS,2014-09-22 07:32:07+02:00
2014-09-22 07:45:07 AM,57.03075,9.94550,2,3,157,48,27,GPS,2014-09-22 07:45:07+02:00
2014-09-22 07:51:11 AM,57.03098,9.94580,,,,,52,GPS,2014-09-22 07:51:11+02:00
