Date,Lat,Lng,Speed(mph),Speed(km/h),Accuracy,Type,Date2
2014-09-12 11:21:15 AM,57.01163,9.99110,0,0,10,GPS,2014-09-12 11:21:15+02:00
2014-09-15 02:02:22 PM,57.01189,9.99120,,,91,GPS,2014-09-15 14:02:22+02:00
2014-09-15 04:36:52 PM,57.03108,9.94580,4,6,28,GPS,2014-09-15 16:36:52+02:00
2014-09-15 05:08:01 PM,57.03727,9.95310,19,31,44,GPS,2014-09-15 17:08:01+02:00
2014-09-15 05:22:27 PM,57.03579,9.95330,16,26,15,GPS,2014-09-15 17:22:27+02:00
2014-09-15 05:37:06 PM,57.03095,9.94570,0,0,11,GPS,2014-09-15 17:37:06+02:00
2014-09-15 06:05:30 PM,57.03106,9.94580,1,2,17,GPS,2014-09-15 18:05:30+02:00
2014-09-15 06:50:37 PM,57.03085,9.94540,4,6,20,GPS,2014-09-15 18:50:37+02:00
2014-09-15 07:20:43 PM,57.03095,9.94620,6,10,14,GPS,2014-09-15 19:20:43+02:00
2014-09-15 07:35:42 PM,57.03106,9.94570,0,0,14,GPS,2014-09-15 19:35:42+02:00
2014-09-15 08:27:35 PM,57.03096,9.94560,0,0,17,GPS,2014-09-15 20:27:35+02:00
2014-09-15 08:42:36 PM,57.03072,9.94620,3,5,20,GPS,2014-09-15 20:42:36+02:00
2014-09-15 09:05:36 PM,57.03088,9.94580,1,2,12,GPS,2014-09-15 21:05:36+02:00
2014-09-15 09:20:40 PM,57.03064,9.94550,4,6,15,GPS,2014-09-15 21:20:40+02:00
2014-09-15 09:33:57 PM,57.03095,9.94550,7,11,14,GPS,2014-09-15 21:33:57+02:00
2014-09-15 10:19:07 PM,57.03083,9.94580,0,0,23,GPS,2014-09-15 22:19:07+02:00
2014-09-15 11:34:22 PM,57.03102,9.94570,7,11,24,GPS,2014-09-15 23:34:22+02:00
2014-09-16 12:40:44 AM,57.03093,9.94550,2,3,23,GPS,2014-09-16 00:40:44+02:00
2014-09-16 02:10:21 AM,57.03107,9.94570,1,2,12,GPS,2014-09-16 02:10:21+02:00
2014-09-16 03:10:25 AM,57.03078,9.94560,1,2,14,GPS,2014-09-16 03:10:25+02:00
2014-09-16 03:25:46 AM,57.03101,9.94550,0,0,11,GPS,2014-09-16 03:25:46+02:00
2014-09-16 03:40:35 AM,57.03089,9.94600,6,10,11,GPS,2014-09-16 03:40:35+02:00
2014-09-16 03:55:53 AM,57.03078,9.94520,0,0,20,GPS,2014-09-16 03:55:53+02:00
2014-09-16 04:10:21 AM,57.03102,9.94570,1,2,11,GPS,2014-09-16 04:10:21+02:00
2014-09-16 04:55:28 AM,57.03097,9.94600,5,8,14,GPS,2014-09-16 04:55:28+02:00
2014-09-16 05:10:32 AM,57.03107,9.94560,1,2,17,GPS,2014-09-16 05:10:32+02:00
2014-09-16 06:25:49 AM,57.03090,9.94580,3,5,19,GPS,2014-09-16 06:25:49+02:00
2014-09-16 06:55:43 AM,57.03088,9.94540,8,13,26,GPS,2014-09-16 06:55:43+02:00
2014-09-16 08:10:46 AM,57.01271,9.98780,8,13,30,GPS,2014-09-16 08:10:46+02:00
2014-09-16 08:25:38 AM,57.01170,9.99140,5,8,49,GPS,2014-09-16 08:25:38+02:00
2014-09-16 08:40:27 AM,57.01186,9.99100,13,21,30,GPS,2014-09-16 08:40:27+02:00
2014-09-16 08:55:58 AM,57.01163,9.99110,0,0,47,GPS,2014-09-16 08:55:58+02:00
2014-09-16 09:40:32 AM,57.01165,9.99080,3,5,28,GPS,2014-09-16 09:40:32+02:00
2014-09-16 10:11:44 AM,57.01168,9.99100,,,22,GPS,2014-09-16 10:11:44+02:00
